COLLEGE,YEAR,DEGREES,DEGREBAR,PUBLIC,FACULTY,BSCHOOL,T,MA_DEG 
1,1991,50,47.3750000,2,11,1,-7,0 
1,1992,32,47.3750000,2,8,1,-6,0 
1,1993,31,47.3750000,2,10,1,-5,37.6666667 
1,1994,35,47.3750000,2,9,1,-4,32.6666667 
1,1995,32,47.3750000,2,11,1,-3,32.6666667 
1,1996,28,47.3750000,2,11,1,-2,31.6666667 
1,1997,49,47.3750000,2,9.5000000,1,-1,36.3333333 
1,1998,60,47.3750000,2,8,1,0,45.6666667 
1,1999,49,47.3750000,2,9,1,1,52.6666667 
1,2000,59,47.3750000,2,9,1,2,56 
1,2001,58,47.3750000,2,10,1,3,55.3333333 
1,2002,53,47.3750000,2,10,1,4,56.6666667 
1,2003,57,47.3750000,2,7,1,5,56 
1,2004,57,47.3750000,2,10,1,6,55.6666667 
1,2005,57,47.3750000,2,10,1,7,57 
1,2006,51,47.3750000,2,10,1,8,55 
2,1991,16,8.1250000,2,3,1,-7,0 
2,1992,14,8.1250000,2,3,1,-6,0 
2,1993,10,8.1250000,2,3,1,-5,13.3333333 
2,1994,5,8.1250000,2,3,1,-4,9.6666667 
2,1995,7,8.1250000,2,3,1,-3,7.3333333 
2,1996,3,8.1250000,2,3,1,-2,5 
2,1997,3,8.1250000,2,3,1,-1,4.3333333 
2,1998,5,8.1250000,2,3,1,0,3.6666667 
2,1999,5,8.1250000,2,3,1,1,4.3333333 
2,2000,5,8.1250000,2,3,1,2,5 
2,2001,6,8.1250000,2,3,1,3,5.3333333 
2,2002,11,8.1250000,2,3,1,4,7.3333333 
2,2003,17,8.1250000,2,3,1,5,11.3333333 
2,2004,10,8.1250000,2,3,1,6,12.6666667 
2,2005,7,8.1250000,2,3,1,7,11.3333333 
2,2006,6,8.1250000,2,3,1,8,7.6666667 
3,1991,40,37.1250000,2,8,1,-7,0 
3,1992,31,37.1250000,2,8,1,-6,0 
3,1993,33,37.1250000,2,7,1,-5,34.6666667 
3,1994,24,37.1250000,2,9,1,-4,29.3333333 
3,1995,27,37.1250000,2,7,1,-3,28 
3,1996,33,37.1250000,2,8.5000000,1,-2,28 
3,1997,21,37.1250000,2,10,1,-1,27 
3,1998,24,37.1250000,2,8.5000000,1,0,26 
3,1999,34,37.1250000,2,7,1,1,26.3333333 
3,2000,55,37.1250000,2,6,1,2,37.6666667 
3,2001,38,37.1250000,2,7,1,3,42.3333333 
3,2002,39,37.1250000,2,8,1,4,44 
3,2003,35,37.1250000,2,8,1,5,37.3333333 
3,2004,47,37.1250000,2,8,1,6,40.3333333 
3,2005,68,37.1250000,2,7,1,7,50 
3,2006,45,37.1250000,2,8,1,8,53.3333333 
4,1991,43,42,2,10,1,-7,0 
4,1992,39,42,2,10,1,-6,0 
4,1993,53,42,2,10,1,-5,45 
4,1994,43,42,2,10,1,-4,45 
4,1995,46,42,2,10,1,-3,47.3333333 
4,1996,30,42,2,9.5000000,1,-2,39.6666667 
4,1997,29,42,2,9,1,-1,35 
4,1998,38,42,2,10,1,0,32.3333333 
4,1999,43,42,2,9.5000000,1,1,36.6666667 
4,2000,48,42,2,9,1,2,43 
4,2001,45,42,2,11,1,3,45.3333333 
4,2002,28,42,2,11,1,4,40.3333333 
4,2003,45,42,2,10,1,5,39.3333333 
4,2004,46,42,2,9,1,6,39.6666667 
4,2005,54,42,2,10,1,7,48.3333333 
4,2006,42,42,2,11,1,8,47.3333333 
5,1991,45,37.9375000,2,8,0,-7,0 
5,1992,30,37.9375000,2,8,0,-6,0 
5,1993,34,37.9375000,2,8,0,-5,36.3333333 
5,1994,34,37.9375000,2,8,0,-4,32.6666667 
5,1995,25,37.9375000,2,9,0,-3,31 
5,1996,25,37.9375000,2,9,0,-2,28 
5,1997,33,37.9375000,2,8,0,-1,27.6666667 
5,1998,31,37.9375000,2,8,0,0,29.6666667 
5,1999,50,37.9375000,2,7,0,1,38 
5,2000,33,37.9375000,2,9,0,2,38 
5,2001,35,37.9375000,2,9,0,3,39.3333333 
5,2002,41,37.9375000,2,8,0,4,36.3333333 
5,2003,41,37.9375000,2,8,0,5,39 
5,2004,56,37.9375000,2,9,0,6,46 
5,2005,42,37.9375000,2,9,0,7,46.3333333 
5,2006,52,37.9375000,2,9,0,8,50 
6,1991,4,6.9375000,1,11,0,-7,0 
6,1992,6,6.9375000,1,12,0,-6,0 
6,1993,3,6.9375000,1,10,0,-5,4.3333333 
6,1994,3,6.9375000,1,10,0,-4,4 
6,1995,0,6.9375000,1,10,0,-3,2 
6,1996,3,6.9375000,1,8,0,-2,2 
6,1997,4,6.9375000,1,7.5000000,0,-1,2.3333333 
6,1998,1,6.9375000,1,7,0,0,2.6666667 
6,1999,8,6.9375000,1,8,0,1,4.3333333 
6,2000,6,6.9375000,1,7,0,2,5 
6,2001,6,6.9375000,1,7,0,3,6.6666667 
6,2002,6,6.9375000,1,7,0,4,6 
6,2003,16,6.9375000,1,7,0,5,9.3333333 
6,2004,17,6.9375000,1,7,0,6,13 
6,2005,15,6.9375000,1,7,0,7,16 
6,2006,13,6.9375000,1,7,0,8,15 
7,1991,12,9.3750000,2,3,0,-7,0 
7,1992,15,9.3750000,2,3.5000000,0,-6,0 
7,1993,9,9.3750000,2,4,0,-5,12 
7,1994,16,9.3750000,2,4,0,-4,13.3333333 
7,1995,13,9.3750000,2,4,0,-3,12.6666667 
7,1996,16,9.3750000,2,4,0,-2,15 
7,1997,3,9.3750000,2,4,0,-1,10.6666667 
7,1998,6,9.3750000,2,4,0,0,8.3333333 
7,1999,3,9.3750000,2,4,0,1,4 
7,2000,1,9.3750000,2,4,0,2,3.3333333 
7,2001,6,9.3750000,2,4,0,3,3.3333333 
7,2002,1,9.3750000,2,4,0,4,2.6666667 
7,2003,7,9.3750000,2,3,0,5,4.6666667 
7,2004,14,9.3750000,2,4,0,6,7.3333333 
7,2005,9,9.3750000,2,4,0,7,10 
7,2006,19,9.3750000,2,6,0,8,14 
8,1991,14,11.7500000,2,4,0,-7,0 
8,1992,13,9.3750000,2,4,0,-6,0 
8,1993,13,9.3750000,2,4,0,-5,13.3333333 
8,1994,10,9.3750000,2,4,0,-4,12 
8,1995,13,9.3750000,2,4,0,-3,12 
8,1996,10,9.3750000,2,4,0,-2,11 
8,1997,9,9.3750000,2,4,0,-1,10.6666667 
8,1998,9,9.3750000,2,4,0,0,9.3333333 
8,1999,12,9.3750000,2,4,0,1,10 
8,2000,17,9.3750000,2,4,0,2,12.6666667 
8,2001,13,9.3750000,2,3,0,3,14 
8,2002,11,9.3750000,2,3,0,4,13.6666667 
8,2003,10,9.3750000,2,3,0,5,11.3333333 
8,2004,11,9.3750000,2,3,0,6,10.6666667 
8,2005,16,9.3750000,2,4,0,7,12.3333333 
8,2006,7,9.3750000,2,4,0,8,11.3333333 
9,1991,1,4.6875000,1,5,0,-7,0 
