DATE,AIRRPMD,AIRRPMT,CHEMICAL,COAL,DURABLES,HS1FAM,HSTOTAL,NONDUR,PETROL,TOBACCO,VEHICLES
JAN71,8.439994812,10.519996643,3896,49780,26617,,,23314,2154,425,4367
FEB71,7.1999969482,8.9899978638,4346,47029,29829,,,25407,2250,433,5147
MAR71,8.1699981689,10.13999939,4318,56920,31336,,,25832,2165,445,5418
APR71,9.0199966431,11.149993896,4536,54336,30484,,,25773,2223,440,4897
MAY71,8.3999938965,10.839996338,4454,50442,31008,,,25560,2190,458,5002
JUN71,9.4499969482,12.089996338,4554,49298,33212,,,26936,2288,503,5329
JUL71,10.309997559,13.659996033,4058,39537,27078,,,24778,2250,474,3537
AUG71,10.759994507,14.059997559,4342,56185,28172,,,26413,2251,480,3940
SEP71,8.3299942017,11.13999939,4693,54449,31012,,,27456,2281,484,5226
OCT71,8.6199951172,11.099998474,4389,11857,30835,,,27347,2320,465,5429
NOV71,8.0399932861,10,4289,26327,30448,,,26917,2285,470,5400
DEC71,9.6699981689,11.979995728,3997,56032,29343,,,25898,2279,451,4446
JAN72,9.3099975586,11.739997864,4353,49680,29145,,,25818,2319,459,5072
FEB72,8.189994812,10.269996643,4609,49112,32222,,,27553,2396,465,5707
MAR72,9.5999984741,12.049995422,4794,54438,33644,,,28405,2397,474,5760
APR72,9.5899963379,12.269996643,4975,49814,33762,,,28005,2462,461,5807
MAY72,9.1499938965,12.029998779,4859,52879,33964,,,27808,2368,490,5865
JUN72,10.679992676,13.949996948,5027,50083,35405,,,29462,2505,515,5909
JUL72,11.279998779,15.099998474,4382,40964,29270,,,26762,2490,489,3681
AUG72,11.929992676,15.649993896,4798,52169,31833,,,29211,2553,509,3895
SEP72,9.2199935913,12.469993591,5076,49374,36083,,,30589,2611,502,6247
OCT72,9.5,12.289993286,4979,51671,36393,,,30164,2528,495,6629
NOV72,9.25,11.519996643,4845,50297,35767,,,30064,2618,515,6670
DEC72,10.419998169,13.079994202,4740,44904,33830,,,29039,2685,489,5520
JAN73,9.7999954224,12.5,4885,49379,34409,,,28703,2649,475,6710
FEB73,8.7999954224,11.049995422,5579,45893,38208,,,31349,2723,478,7134
MAR73,10.259994507,12.939994812,5741,50547,39586,,,32515,2675,486,7097
APR73,10.439994812,13.239997864,5910,46999,39100,,,32072,2723,483,6741
MAY73,10.109992981,13.159996033,5784,51420,39760,,,31884,2781,526,7006
JUN73,11.549995422,14.949996948,5962,46613,41799,,,33632,2953,555,7169
JUL73,12,16,5152,43801,35888,,,30714,2919,517,5419
AUG73,13,16.979995728,5536,55874,36576,,,33536,3017,560,4667
SEP73,9.859992981,13.149993896,5769,48338,40163,,,34336,3121,516,6227
OCT73,10.129997253,12.879997253,5643,54380,41608,,,34796,3135,534,7314
NOV73,9.7699966431,11.989997864,5610,49825,40474,,,35031,3425,532,6928
DEC73,10.579994202,13.129997253,5463,48668,37115,,,33524,3694,539,4866
JAN74,10.259994507,12.989997864,5685,53530,37088,,,34160,3742,549,5611
FEB74,9.4499969482,11.689994812,6452,49851,40828,,,37244,4173,509,5762
MAR74,11.159996033,13.779998779,6729,51027,42829,,,38562,4374,530,5638
APR74,11.079994202,13.699996948,7094,54181,42699,,,38124,4499,531,5891
MAY74,10.669998169,13.569999695,6987,57448,44000,,,38391,4725,588,6229
JUN74,12,15.119995117,7158,47884,46661,,,39866,4983,601,6485
JUL74,12.069999695,15.549995422,6580,49206,39682,,,37805,5068,597,5169
AUG74,13.179992676,16.729995728,7026,51604,42282,,,41065,5104,624,5236
SEP74,9.859992981,12.679992676,7556,52472,46329,,,42620,5056,583,6921
OCT74,10.189994812,12.649993896,7201,60293,47165,,,42727,5042,637,7703
NOV74,9.0499954224,11.179992676,6791,33524,43893,,,41251,5116,577,6985
DEC74,10.759994507,13.269996643,6118,39980,38158,,,37248,4970,600,4490
JAN75,10.059997559,12.63999939,6702,55167,39836,39.799987793,56.099975586,38568,5108,600,4816
FEB75,8.939994812,11.009994507,7376,51808,43169,40,54.699981689,41443,5266,622,5254
MAR75,10.949996948,13.299995422,7609,52603,43615,62.5,80.199951172,41071,5166,630,5589
APR75,10.069999695,12.189994812,7829,53776,44511,77.799987793,97.899963379,41849,5294,628,6004
MAY75,10.419998169,12.909996033,7558,55921,43672,92.799987793,116.09997559,41138,5313,652,6037
JUN75,12.149993896,14.909996033,7620,56786,46224,90.299987793,110.29998779,43351,5749,679,6439
JUL75,12.75,16.099990845,6923,45960,39601,92.799987793,119.29998779,41273,5825,675,4820
AUG75,13.809997559,17.299987793,7607,51760,42688,90.699951172,117.29998779,44694,6317,706,5180
SEP75,10.219993591,12.899993896,8003,56066,47013,84.5,111.89996338,46192,6213,639,6589
OCT75,10.919998169,13.359992981,7838,60396,47081,93.799987793,123.59997559,46843,6281,702,6886
NOV75,10.059997559,12.259994507,7375,53976,44225,71.599975586,96.899963379,45563,6426,801,6531
DEC75,11.359992981,13.929992676,7282,54819,42501,55.599975586,76.099975586,43286,6526,724,5888
JAN76,11.289993286,13.939994812,7615,52568,42785,54,72.5,43845,6441,688,6765
FEB76,10.539993286,12.75,8530,53773,48118,72.599975586,89.899963379,47135,6757,677,7675
MAR76,11.799995422,14.189994812,9107,60918,51715,92.399963379,118.39996338,48145,6422,742,8295
APR76,12.109992981,14.669998169,9358,59145,51148,107.79998779,137.19995117,48209,6647,705,8194
MAY76,11.789993286,14.659996033,8882,57934,52100,112.19995117,147.89990234,47434,6534,683,8256
JUN76,13.069999695,16.209991455,9011,59680,55138,119.59997559,154.19995117,49339,6925,749,9056
JUL76,14.029998779,17.719985962,8003,44318,46565,112.79998779,136.59997559,45872,6957,706,6573
AUG76,14.479995728,18.149993896,8621,53622,50413,112.79998779,145.89990234,48653,7057,712,7162
SEP76,11.199996948,14.189994812,9324,60634,53770,108,151.79992676,50974,7054,743,7978
OCT76,11.659996033,14.319999695,8900,58999,52725,109.09997559,148.39990234,50436,7044,820,8005
NOV76,10.739997864,12.989997864,8650,58780,52513,89.399963379,127.09997559,49542,7087,718,9185
DEC76,12.559997559,15.189994812,8141,58414,51373,71.599975586,107.39996338,47769,7422,833,8236
JAN77,12.229995728,15.089996338,8314,44679,49410,55.699981689,81.299987793,47731,7676,743,8726
FEB77,10.719993591,12.939994812,9509,49260,55087,87.199951172,112.5,52120,7871,745,9364
MAR77,12.829994202,15.459999084,10264,66776,60887,125.79998779,173.59997559,53611,7608,793,10777
APR77,12.589996338,15.38999939,10105,60549,58454,138.79992676,182.19995117,52872,7755,773,10081
MAY77,12.309997559,15.339996338,9844,62499,58760,152.19995117,201.29992676,51957,7757,803,10112
JUN77,13.689994812,17.019989014,9930,63095,62651,149.09997559,197.59997559,54024,7964,820,11035
JUL77,15,18.849990845,8669,49584,52591,138.19995117,189.79992676,49653,8087,765,8554
AUG77,15.619995117,19.489990234,9465,57751,56045,140.5,194,53987,8083,832,7826
SEP77,12.339996338,15.609992981,10055,69510,61709,131.59997559,177.69995117,55381,8077,806,10229
OCT77,13.019996643,16.159988403,9400,67660,63019,135.39990234,193.09997559,55461,8295,779,11419
NOV77,12.239997864,14.839996338,9175,68979,59605,109.29998779,154.79992676,54190,8137,841,10501
DEC77,14.009994507,17.039993286,9161,31002,57902,87.099975586,129.19995117,52998,8346,889,9134
JAN78,13.419998169,16.619995117,9366,23115,54053,63.299987793,88.599975586,50885,8005,798,9070
FEB78,12.029998779,14.509994507,10309,23520,62372,72.799987793,101.29998779,56428,8151,800,10600
MAR78,15.319999695,18.449996948,11010,38765,67083,121.39996338,172.09997559,57617,8019,876,11641
APR78,14.319999695,17.579986572,11434,59530,67969,139.89990234,197.5,58483,8207,903,11920
MAY78,14.459999084,17.959991455,10841,68760,67011,154.89990234,211,57610,8273,835,11780
