total_bill,smoker,size,male,tip
29.8,0,6,0,4.2
15.81,1,2,1,3.16
15.53,1,2,1,3.0
18.24,0,2,1,3.76
16.21,0,3,0,2.0
13.42,1,2,1,1.58
17.29,0,2,1,2.71
12.74,1,2,0,2.01
17.47,0,2,0,3.5
20.9,1,3,0,3.5
18.29,0,2,1,3.0
21.01,1,2,1,3.0
18.15,1,3,0,3.5
18.64,0,3,0,1.36
19.44,1,2,1,3.0
17.81,0,4,1,2.34
48.17,0,6,1,5.0
26.88,0,4,1,3.12
30.06,1,3,1,2.0
28.55,0,3,1,2.05
16.32,1,2,0,4.3
22.82,0,3,1,2.18
40.55,1,2,1,3.0
23.33,1,2,1,5.65
10.51,0,2,1,1.25
8.52,0,2,1,1.48
32.9,1,2,1,3.11
20.29,0,2,0,2.75
26.41,0,2,0,1.5
14.31,1,2,0,4.0
18.71,1,3,1,4.0
13.94,0,2,1,3.06
14.73,0,2,0,2.2
16.31,0,3,1,2.0
12.76,1,2,0,2.23
10.33,0,2,0,2.0
28.97,1,2,1,3.0
25.71,0,3,0,4.0
38.73,1,4,1,3.0
20.76,0,2,1,2.24
17.89,1,2,1,2.0
12.02,0,2,1,1.97
11.38,0,2,0,2.0
10.27,0,2,1,1.71
24.06,0,3,1,3.6
11.02,1,2,1,1.98
8.58,1,1,1,1.92
29.93,0,4,1,5.07
34.3,0,6,1,6.7
14.0,0,2,1,3.0
48.33,0,4,1,9.0
8.51,0,2,0,1.25
10.29,0,2,0,2.6
12.16,1,2,1,2.2
18.35,0,4,1,2.5
14.26,0,2,1,2.5
31.27,0,3,1,5.0
18.69,0,3,1,2.31
15.42,0,2,1,1.57
13.28,0,2,1,2.72
13.51,1,2,1,2.0
32.68,1,2,1,5.0
9.6,1,2,0,4.0
20.23,0,2,1,2.01
9.55,0,2,1,1.45
8.35,0,2,0,1.5
18.28,0,2,1,4.0
11.59,1,2,1,1.5
35.83,0,3,0,4.67
16.58,1,2,1,4.0
12.46,0,2,1,1.5
21.16,0,2,1,3.0
26.86,1,2,0,3.14
24.71,0,2,1,5.85
25.0,0,4,0,3.75
22.12,1,2,0,2.88
18.04,0,2,1,3.0
15.38,1,2,0,3.0
27.05,0,6,0,5.0
11.87,0,2,0,1.63
15.69,1,2,1,1.5
25.28,1,2,0,5.0
20.45,0,4,1,3.0
16.27,1,2,0,2.5
12.26,0,2,0,2.0
27.2,0,4,1,4.0
20.69,0,5,1,5.0
16.43,0,2,0,2.3
34.81,0,4,0,5.2
22.49,0,2,1,3.5
16.99,0,2,0,1.01
11.61,0,2,1,3.39
24.01,1,4,1,2.0
10.07,0,2,1,1.25
43.11,1,4,0,5.0
20.08,0,3,1,3.15
16.29,0,3,1,3.71
40.17,1,4,1,4.73
20.65,0,3,1,3.35
17.07,0,3,0,3.0
11.69,0,2,1,2.31
20.27,0,2,0,2.83
24.55,0,4,1,2.0
12.66,0,2,1,2.5
16.97,0,3,0,3.5
34.83,0,4,0,5.17
16.47,1,3,0,3.23
10.59,1,2,0,1.61
8.77,0,2,1,2.0
19.49,0,2,1,3.51
11.35,1,2,0,2.5
13.0,1,2,0,2.0
5.75,1,2,0,1.0
25.56,0,4,1,4.34
14.78,0,2,1,3.23
14.83,0,2,0,3.02
13.03,0,2,1,2.0
10.09,1,2,0,2.0
7.25,1,2,1,5.15
20.69,0,4,0,2.45
19.77,0,4,1,2.0
28.17,1,3,0,6.5
45.35,1,3,1,3.5
34.63,1,2,1,3.55
22.23,0,2,1,5.0
3.07,1,1,0,1.0
50.81,1,3,1,10.0
24.52,0,3,1,3.48
34.65,1,4,1,3.68
10.33,0,3,0,1.67
24.27,1,2,1,2.03
24.59,0,4,0,3.61
17.82,0,2,1,1.75
11.17,0,2,0,1.5
13.81,0,2,1,2.0
32.4,0,4,1,6.0
10.34,1,2,1,2.0
13.42,0,2,0,1.68
25.21,1,2,1,4.29
19.65,0,2,0,3.0
30.4,0,4,1,5.6
30.46,1,5,1,2.0
15.98,0,2,1,2.03
18.26,0,2,0,3.25
48.27,0,4,1,6.73
12.43,0,2,0,1.8
17.92,0,2,1,4.08
15.48,1,2,1,2.02
10.77,0,2,1,1.47
10.34,0,3,1,1.66
20.92,0,2,0,4.08
16.45,0,2,0,2.47
12.54,0,2,1,2.5
15.06,0,2,0,3.0
16.49,0,4,1,2.0
39.42,0,4,1,7.58
14.07,0,2,1,2.5
18.43,0,4,1,3.0
13.37,0,2,1,2.0
22.76,0,2,1,3.0
20.53,1,4,1,4.0
16.82,1,2,1,4.0
15.95,0,2,1,2.0
23.68,0,2,1,3.31
19.82,0,2,1,3.18
35.26,0,4,0,5.0
21.5,0,4,1,3.5
7.56,0,2,1,1.44
11.24,1,2,1,1.76
31.71,0,4,1,4.5
44.3,1,3,0,2.5
21.58,0,2,1,3.92
19.08,0,2,1,1.5
17.51,1,2,0,3.0
17.59,0,3,1,2.64
13.13,0,2,1,2.0
26.59,1,3,1,3.41
9.78,0,2,1,1.73
15.01,1,2,1,2.09
29.85,0,5,0,5.14
16.4,1,2,0,2.5
15.69,1,3,1,3.0
22.75,0,2,0,3.25
12.03,1,2,1,1.5
25.89,1,4,1,5.16
18.78,0,2,0,3.0
17.26,0,3,1,2.74
23.95,0,2,1,2.55
15.36,1,2,1,1.64
27.28,1,2,1,4.0
16.04,0,3,1,2.24
17.78,0,2,1,3.27
12.6,1,2,1,1.0
17.31,0,2,0,3.5
13.27,1,2,0,2.5
